cluster_rank	cluster_id	work_group_id	oldest_thread_created_at	review_path	source_anchor	thread_count	pull_request_numbers	thread_ids	claim_headings	validation_gate	history_state
78	review-unchanged-source-src-amd-r300-common-r300-chip-identity-h-a6d2ac8628cc	work-r300-chip-identity-h-enum-r300-die-class-5504e961d82f	2026-08-23T23:07:41Z	src/amd/r300/common/r300_chip_identity.h	enum r300 die class	1	"[""1751""]"	"[""PRRT_kwDOR3YK5M6biyBP""]"	"[""keep die fact provenance in the mesa checkout""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
79	review-unchanged-source-src-amd-r300-common-tests-r300-common-boundary-51154570fb85	work-r300-common-boundary-audit-py-def-strip-outer-parentheses-expression-f1a75268c1d1	2026-08-24T01:33:25Z	src/amd/r300/common/tests/r300_common_boundary_audit.py	def strip outer parentheses expression str str	2	"[""1752""]"	"[""PRRT_kwDOR3YK5M6bjpd0"",""PRRT_kwDOR3YK5M6bjpdz""]"	"[""remove the parser helpers orphaned by unconditional scanning"",""ground the whole file scan comments in the actual mechanism""]"	python-test-black-and-ruff	unchanged-since-review
80	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-memory-99f25a9950d4	work-r3v-native-memory-concurrency-harness-c-original-line-220-b952813920e9	2026-08-24T15:54:36Z	src/amd/r300/vulkan/tests/r3v_native_memory_concurrency_harness.c	original line 220	1	"[""1755""]"	"[""PRRT_kwDOR3YK5M6bwr41""]"	"[""synchronize workers before measuring concurrency""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
80	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-memory-99f25a9950d4	work-r3v-native-memory-concurrency-harness-c-original-line-315-8887f7a2c1d4	2026-08-24T15:54:36Z	src/amd/r300/vulkan/tests/r3v_native_memory_concurrency_harness.c	original line 315	1	"[""1755""]"	"[""PRRT_kwDOR3YK5M6bwr49""]"	"[""track free publications per memory object""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
80	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-memory-99f25a9950d4	work-r3v-native-memory-concurrency-harness-c-original-line-332-386d51d1a0a3	2026-08-24T15:54:36Z	src/amd/r300/vulkan/tests/r3v_native_memory_concurrency_harness.c	original line 332	1	"[""1755""]"	"[""PRRT_kwDOR3YK5M6bwr4w""]"	"[""exercise a transport reaching submit in the loss arm""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
80	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-memory-99f25a9950d4	work-r3v-native-memory-concurrency-harness-c-original-line-93-bb3681ff1108	2026-08-24T15:54:36Z	src/amd/r300/vulkan/tests/r3v_native_memory_concurrency_harness.c	original line 93	1	"[""1755""]"	"[""PRRT_kwDOR3YK5M6bwr45""]"	"[""exercise shareable handles before claiming table concurrency""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
81	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-kernel-memory-f8569dd7a273	work-r3v-kernel-memory-contract-pin-py-original-line-56-c8a8dc4fa107	2026-08-24T15:56:46Z	src/amd/r300/vulkan/tests/r3v_kernel_memory_contract_pin.py	original line 56	2	"[""1756""]"	"[""PRRT_kwDOR3YK5M6bwurA"",""PRRT_kwDOR3YK5M6bwurH""]"	"[""reject duplicate contract row identifiers"",""pin the contract schema alongside its rows""]"	python-test-black-and-ruff	unchanged-since-review
81	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-kernel-memory-f8569dd7a273	work-r3v-kernel-memory-contract-pin-py-original-line-79-defbd1c3718e	2026-08-24T15:56:46Z	src/amd/r300/vulkan/tests/r3v_kernel_memory_contract_pin.py	original line 79	1	"[""1756""]"	"[""PRRT_kwDOR3YK5M6bwuq9""]"	"[""keep calibration checks active under optimized python""]"	python-test-black-and-ruff	unchanged-since-review
82	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-conformance-runner-0f5750ab99ff	work-r3v-conformance-runner-fixture-info-qpa-original-line-8-69ebb996569c	2026-08-24T20:12:38Z	src/amd/r300/vulkan/tests/r3v_conformance_runner_fixture_info.qpa	original line 8	1	"[""1761""]"	"[""PRRT_kwDOR3YK5M6b1p6S""]"	"[""remove the local absolute path from the fixture""]"	repository-native-focused-check	unchanged-since-review
83	review-unchanged-source-docs-hardware-rs482-composed-surface-campaign-md-5d85cad0c97c	work-rs482-composed-surface-campaign-md-mechanisms-sharing-one-radix-i-90605bf41617	2026-08-24T20:17:02Z	docs/hardware/rs482-composed-surface-campaign.md	mechanisms sharing one radix i q 2048 r and no unified law	1	"[""1764""]"	"[""PRRT_kwDOR3YK5M6b1vLd""]"	"[""preserve an exact finding identifier""]"	documentation-symbol-and-link-check	unchanged-since-review
84	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-attended-a3a383763922	work-r3v-native-attended-compute-identity-c-main-int-argc-char-738f8cf99079	2026-08-24T20:21:15Z	src/amd/r300/vulkan/tests/r3v_native_attended_compute_identity.c	main int argc char argv	1	"[""1765""]"	"[""PRRT_kwDOR3YK5M6b10J2""]"	"[""use the canonical macro in queue gate callers""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
85	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-vulkan10-requirement-6453a7b8ca7b	work-r3v-vulkan10-requirement-inventory-py-def-parse-granted-features-physica-6d6e7cac2131	2026-08-24T20:21:15Z	src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py	def parse granted features physical device text	1	"[""1765""]"	"[""PRRT_kwDOR3YK5M6b10Jt""]"	"[""verify the ledger derivation before claiming it in inventory""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-183-dd6d57c61a47	2026-08-24T22:25:29Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 183	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b35q3""]"	"[""bind the cmake cache to the binary it describes""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-215-a5f1f069cc06	2026-08-24T22:25:29Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 215	2	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b35q_"",""PRRT_kwDOR3YK5M6b35qu""]"	"[""reject bundle destinations nested under copied inputs"",""validate the copied corpus against the checked in pin""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-253-383ae0516d5c	2026-08-24T22:25:29Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 253	2	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b35rF"",""PRRT_kwDOR3YK5M6b4SNv""]"	"[""reject unsupported provenance schema versions"",""preserve non isa gnu properties while stripping the level""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-260-64f2e1c7fb24	2026-08-24T22:25:29Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 260	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b35q5""]"	"[""verify that the transported binary remains executable""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-119-4209beb1f50e	2026-08-24T22:54:13Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 119	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b4SNq""]"	"[""reject non x86 64 deqp executables""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-121-ad99ea2f09e8	2026-08-24T22:54:13Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 121	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b4SN3""]"	"[""verify target symbol version compatibility""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-366-363308104d08	2026-08-24T22:54:13Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 366	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b4SN5""]"	"[""isolate synthetic commits from global signing configuration""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-251-911b8cf27c11	2026-08-24T23:00:16Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 251	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b4Xou""]"	"[""keep bundle output outside the source checkout""]"	python-test-black-and-ruff	unchanged-since-review
86	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-deqp-provision-51540a3b761f	work-r3v-deqp-provision-py-original-line-407-3c29da419aea	2026-08-24T23:00:16Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 407	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b4Xoz""]"	"[""calibrate the elevated isa note path on every host""]"	python-test-black-and-ruff	unchanged-since-review
87	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-plan-a57f5db273f6	work-r3v-native-plan-tool-c-original-line-27-2f0c3494a7e5	2026-08-24T22:59:18Z	src/amd/r300/vulkan/tests/r3v_native_plan_tool.c	original line 27	1	"[""1770""]"	"[""PRRT_kwDOR3YK5M6b4WuI""]"	"[""reject seek failures before parsing plan input""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
87	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-plan-a57f5db273f6	work-r3v-native-plan-tool-c-original-line-178-160af0631ffc	2026-08-24T23:11:21Z	src/amd/r300/vulkan/tests/r3v_native_plan_tool.c	original line 178	1	"[""1770""]"	"[""PRRT_kwDOR3YK5M6b4gam""]"	"[""require a captured transcript shape before composing""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
87	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-plan-a57f5db273f6	work-r3v-native-plan-tool-c-original-line-135-3d36412216ac	2026-08-24T23:23:10Z	src/amd/r300/vulkan/tests/r3v_native_plan_tool.c	original line 135	1	"[""1770""]"	"[""PRRT_kwDOR3YK5M6b4pyv""]"	"[""reject an unpaired final compose argument""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
87	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-plan-a57f5db273f6	work-r3v-native-plan-tool-c-original-line-67-80c2362b87dc	2026-08-24T23:31:33Z	src/amd/r300/vulkan/tests/r3v_native_plan_tool.c	original line 67	1	"[""1770""]"	"[""PRRT_kwDOR3YK5M6b4wDD""]"	"[""handle plan serialization allocation failure""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
88	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-queue-1bbb29a56d87	work-r3v-native-queue-claim-report-c-original-line-56-6b391a7659c3	2026-08-24T23:05:35Z	src/amd/r300/vulkan/tests/r3v_native_queue_claim_report.c	original line 56	1	"[""1772""]"	"[""PRRT_kwDOR3YK5M6b4buA""]"	"[""bind the queue report to the icd under test""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
88	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-queue-1bbb29a56d87	work-r3v-native-queue-claim-report-c-original-line-82-b14fa0d01cf4	2026-08-24T23:27:30Z	src/amd/r300/vulkan/tests/r3v_native_queue_claim_report.c	original line 82	1	"[""1772""]"	"[""PRRT_kwDOR3YK5M6b4tFo""]"	"[""reject incomplete physical device enumeration""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
89	review-unchanged-source-src-amd-r300-vulkan-r3v-native-object-c-49d53962d745	work-r3v-native-object-c-r3v-createbufferview-vkdevice-device-fba9f34bec3f	2026-08-24T23:23:43Z	src/amd/r300/vulkan/r3v_native_object.c	r3v createbufferview vkdevice device	2	"[""1773""]"	"[""PRRT_kwDOR3YK5M6b4qNX"",""PRRT_kwDOR3YK5M6b4qNe""]"	"[""accept partial texel tails for vk whole size views"",""update the entrypoint behavior audit for live buffer views""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
90	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-cs-ioctl-29a0654b84ea	work-r3v-cs-ioctl-trace-py-original-line-149-d773199db045	2026-08-24T23:32:11Z	src/amd/r300/vulkan/tests/r3v_cs_ioctl_trace.py	original line 149	1	"[""1776""]"	"[""PRRT_kwDOR3YK5M6b4wiQ""]"	"[""attribute cs requests to the radeon render descriptor""]"	python-test-black-and-ruff	unchanged-since-review
90	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-cs-ioctl-29a0654b84ea	work-r3v-cs-ioctl-trace-py-original-line-337-eb540049487e	2026-08-24T23:32:11Z	src/amd/r300/vulkan/tests/r3v_cs_ioctl_trace.py	original line 337	1	"[""1776""]"	"[""PRRT_kwDOR3YK5M6b4wiC""]"	"[""refuse harness calibration without a verified shim""]"	python-test-black-and-ruff	unchanged-since-review
90	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-cs-ioctl-29a0654b84ea	work-r3v-cs-ioctl-trace-py-original-line-234-4bae53841330	2026-08-24T23:54:16Z	src/amd/r300/vulkan/tests/r3v_cs_ioctl_trace.py	original line 234	1	"[""1776""]"	"[""PRRT_kwDOR3YK5M6b5AJe""]"	"[""inspect the tracee s effective preload environment""]"	python-test-black-and-ruff	unchanged-since-review
90	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-cs-ioctl-29a0654b84ea	work-r3v-cs-ioctl-trace-py-original-line-251-a004c60852f0	2026-08-24T23:54:16Z	src/amd/r300/vulkan/tests/r3v_cs_ioctl_trace.py	original line 251	1	"[""1776""]"	"[""PRRT_kwDOR3YK5M6b5AJf""]"	"[""reject colliding trace and summary paths""]"	python-test-black-and-ruff	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-107-8b2d831b5391	2026-08-24T23:51:16Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 107	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b4-Fc""]"	"[""accept every plan permitted by the schema limits""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-219-49acd3381f01	2026-08-24T23:51:16Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 219	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b4-FT""]"	"[""claim the evidence directory atomically""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-261-24e27a0deed0	2026-08-24T23:51:16Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 261	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b4-Fh""]"	"[""sync directories after publishing replay evidence""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-274-587e41f6d3b6	2026-08-24T23:51:16Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 274	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b4-FY""]"	"[""include the complete submission entry in the chain digest""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-368-a68022de1ed1	2026-08-24T23:51:16Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 368	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b4-Fg""]"	"[""preserve the terminal failure detail at close""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-312-f82b45a60da4	2026-08-24T23:58:32Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 312	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b5DPR""]"	"[""bind host side operations into each plan entry""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-337-b827ec677364	2026-08-24T23:58:32Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 337	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b5DPT""]"	"[""persist the consumed index after each admission""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-439-c1cf6d11df95	2026-08-25T00:08:24Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 439	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b5JqL""]"	"[""enforce the runtime ceiling when closing the session""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
91	review-unchanged-source-src-amd-r300-vulkan-r3v-native-plan-replay-564d513dd52a	work-r3v-native-plan-replay-c-original-line-445-daef06a017b1	2026-08-25T00:08:24Z	src/amd/r300/vulkan/r3v_native_plan_replay.c	original line 445	1	"[""1778""]"	"[""PRRT_kwDOR3YK5M6b5JqG""]"	"[""fail closed when the final state write fails""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
92	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-advertised-surface-6c28fcbdf919	work-r3v-advertised-surface-deqp-binding-py-class-bindingfailure-exception-2d95445df36c	2026-08-24T23:54:43Z	src/amd/r300/vulkan/tests/r3v_advertised_surface_deqp_binding.py	class bindingfailure exception	1	"[""1773""]"	"[""PRRT_kwDOR3YK5M6b5AeQ""]"	"[""include the format property field in each derived grant""]"	python-test-black-and-ruff	unchanged-since-review
93	review-unchanged-source-src-amd-r300-common-r300-compute-verb-c-3e736775ed27	work-r300-compute-verb-c-original-line-8-3ba8d99dcd64	2026-08-25T04:40:18Z	src/amd/r300/common/r300_compute_verb.c	original line 8	1	"[""1785""]"	"[""PRRT_kwDOR3YK5M6b8BBz""]"	"[""add the required symbol discovery method""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
94	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-plan-af78c2a42e88	work-r3v-native-plan-compose-shard-py-def-entry-count-tool-c557cafbe139	2026-08-25T06:40:46Z	src/amd/r300/vulkan/tests/r3v_native_plan_compose_shard.py	def entry count tool path	1	"[""1787""]"	"[""PRRT_kwDOR3YK5M6b9gLm""]"	"[""remove stale plans when refusing a case""]"	python-test-black-and-ruff	unchanged-since-review
94	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-plan-af78c2a42e88	work-r3v-native-plan-compose-shard-py-def-sha256-file-path-9331d57f9284	2026-08-25T06:40:46Z	src/amd/r300/vulkan/tests/r3v_native_plan_compose_shard.py	def sha256 file path	2	"[""1787""]"	"[""PRRT_kwDOR3YK5M6b9gLj"",""PRRT_kwDOR3YK5M6b9gLw""]"	"[""refuse incomplete transcript staging files"",""reject ordinals outside the driver s unsigned range""]"	python-test-black-and-ruff	unchanged-since-review
95	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-conformance-partition-d68e4254b8e0	work-r3v-conformance-partition-tsv-order-slice-groups-hazard-required-evidenc-c3ade32f15e8	2026-08-25T13:19:52Z	src/amd/r300/vulkan/tests/r3v_conformance_partition.tsv	order slice groups hazard required evidence	2	"[""1791""]"	"[""PRRT_kwDOR3YK5M6cFjZ6"",""PRRT_kwDOR3YK5M6cFjaC""]"	"[""rename the newly classified submission slices"",""require silicon for the newly unblocked query slices""]"	schema-generator-and-mutation-check	unchanged-since-review
96	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-swapchain-c3f8fa2ab08c	work-r3v-native-swapchain-absence-audit-py-original-line-32-300936af5b0e	2026-08-25T13:28:38Z	src/amd/r300/vulkan/tests/r3v_native_swapchain_absence_audit.py	original line 32	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cFxqP""]"	"[""audit the wsi dispatch overlay instead of an r3v symbol""]"	python-test-black-and-ruff	unchanged-since-review
97	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-wsi-registration-4225826aad70	work-r3v-wsi-registration-gate-audit-py-original-line-103-5149fc4d28ae	2026-08-25T13:28:38Z	src/amd/r300/vulkan/tests/r3v_wsi_registration_gate_audit.py	original line 103	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cFxp-""]"	"[""validate the guard s boolean expression""]"	python-test-black-and-ruff	unchanged-since-review
97	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-wsi-registration-4225826aad70	work-r3v-wsi-registration-gate-audit-py-original-line-110-7b5384ca653d	2026-08-25T13:46:47Z	src/amd/r300/vulkan/tests/r3v_wsi_registration_gate_audit.py	original line 110	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cGMdw""]"	"[""inspect every occurrence of each registration marker""]"	python-test-black-and-ruff	unchanged-since-review
97	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-wsi-registration-4225826aad70	work-r3v-wsi-registration-gate-audit-py-original-line-149-b786dd04e2af	2026-08-25T13:46:47Z	src/amd/r300/vulkan/tests/r3v_wsi_registration_gate_audit.py	original line 149	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cGMeN""]"	"[""reject any conditional wrapper self test registration""]"	python-test-black-and-ruff	unchanged-since-review
97	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-wsi-registration-4225826aad70	work-r3v-wsi-registration-gate-audit-py-original-line-91-25a86dd0e819	2026-08-25T13:46:47Z	src/amd/r300/vulkan/tests/r3v_wsi_registration_gate_audit.py	original line 91	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cGMdg""]"	"[""reject registrations placed in an else branch""]"	python-test-black-and-ruff	unchanged-since-review
98	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-wsi-init-7ad983ed858f	work-r3v-wsi-init-comment-parity-audit-py-original-line-111-9993064f4b80	2026-08-25T13:46:47Z	src/amd/r300/vulkan/tests/r3v_wsi_init_comment_parity_audit.py	original line 111	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cGMeD""]"	"[""fail when an expected comment site disappears""]"	python-test-black-and-ruff	unchanged-since-review
98	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-wsi-init-7ad983ed858f	work-r3v-wsi-init-comment-parity-audit-py-original-line-117-4f503f728f3a	2026-08-25T13:46:47Z	src/amd/r300/vulkan/tests/r3v_wsi_init_comment_parity_audit.py	original line 117	1	"[""1792""]"	"[""PRRT_kwDOR3YK5M6cGMdn""]"	"[""validate the comment s route semantics""]"	python-test-black-and-ruff	unchanged-since-review
99	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-conformance-partition-d9ff833490e1	work-r3v-conformance-partition-py-def-slice-for-caselist-manifest-caselist-fe13771f9f25	2026-08-25T15:15:41Z	src/amd/r300/vulkan/tests/r3v_conformance_partition.py	def slice for caselist manifest caselist path	1	"[""1796""]"	"[""PRRT_kwDOR3YK5M6cIUng""]"	"[""reject subset cases owned by more than one shard""]"	python-test-black-and-ruff	unchanged-since-review
100	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-kernel-deployment-555112798344	work-r3v-kernel-deployment-reconcile-py-original-line-123-8bc5de8920b6	2026-08-25T15:15:41Z	src/amd/r300/vulkan/tests/r3v_kernel_deployment_reconcile.py	original line 123	1	"[""1796""]"	"[""PRRT_kwDOR3YK5M6cIUnI""]"	"[""refuse deployed checkpoints missing a pinned contract file""]"	python-test-black-and-ruff	unchanged-since-review
100	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-kernel-deployment-555112798344	work-r3v-kernel-deployment-reconcile-py-original-line-144-1b74a1753ba8	2026-08-25T15:15:41Z	src/amd/r300/vulkan/tests/r3v_kernel_deployment_reconcile.py	original line 144	1	"[""1796""]"	"[""PRRT_kwDOR3YK5M6cIUnb""]"	"[""require classification of kernel paths that affect radeon""]"	python-test-black-and-ruff	unchanged-since-review
100	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-kernel-deployment-555112798344	work-r3v-kernel-deployment-reconcile-py-original-line-160-9313bacf33b1	2026-08-25T15:15:41Z	src/amd/r300/vulkan/tests/r3v_kernel_deployment_reconcile.py	original line 160	1	"[""1796""]"	"[""PRRT_kwDOR3YK5M6cIUnQ""]"	"[""separate head pin failures from deployment required deltas""]"	python-test-black-and-ruff	unchanged-since-review
100	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-kernel-deployment-555112798344	work-r3v-kernel-deployment-reconcile-py-original-line-172-90a721b08006	2026-08-25T15:15:41Z	src/amd/r300/vulkan/tests/r3v_kernel_deployment_reconcile.py	original line 172	1	"[""1796""]"	"[""PRRT_kwDOR3YK5M6cIUnX""]"	"[""record the actual pin source in the sealed result""]"	python-test-black-and-ruff	unchanged-since-review
101	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-object-48fdf8416182	work-r3v-native-object-lifetime-test-c-check-empty-secondary-execution-9717b63e587c	2026-08-26T02:11:35Z	src/amd/r300/vulkan/tests/r3v_native_object_lifetime_test.c	check empty secondary execution const struct fixture f	2	"[""1813"",""1814""]"	"[""PRRT_kwDOR3YK5M6cT_6c"",""PRRT_kwDOR3YK5M6cUAYX""]"	"[""keep the replayed secondary alive through submission"",""keep the replayed secondary valid through submission""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
102	review-unchanged-source-src-amd-r300-vulkan-r3v-native-transfer-c-9b1ab1d822b9	work-r3v-native-transfer-c-execute-copy-struct-r3v-native-device-173a4d8cd8e0	2026-08-26T02:12:15Z	src/amd/r300/vulkan/r3v_native_transfer.c	execute copy struct r3v native device device	1	"[""1814""]"	"[""PRRT_kwDOR3YK5M6cUAYY""]"	"[""name the vulkan section governing nearest sampling""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
103	review-unchanged-source-docs-hardware-r3v-wsi-denominator-md-4de49f6d37cf	work-r3v-wsi-denominator-md-driver-s-own-entry-points-69ead151e01c	2026-08-26T18:06:36Z	docs/hardware/r3v-wsi-denominator.md	driver s own entry points	1	"[""1852""]"	"[""PRRT_kwDOR3YK5M6ckN66""]"	"[""scope the refusal to images above the render ceiling""]"	documentation-symbol-and-link-check	unchanged-since-review
104	review-unchanged-source-src-amd-terascale-vulkan-terakan-queue-c-ec9d4e7cd5b7	work-terakan-queue-c-terakan-queue-submit-struct-vk-queue-const-af7bd018215c	2026-08-26T19:41:19Z	src/amd/terascale/vulkan/terakan_queue.c	terakan queue submit struct vk queue const queue base struct vk queue submit	1	"[""1858""]"	"[""PRRT_kwDOR3YK5M6cl9hN""]"	"[""run the required terakan runtime validation""]"	warning-clean-driver-build-and-focused-test	unchanged-since-review
