cluster_rank	cluster_id	review_route	review_group_count	thread_count	review_path_count	pull_request_count	oldest_thread_created_at	newest_thread_created_at	validation_gates	history_states	path_change_candidates	representative_work_group_id	next_action
146	review-shared-change-history-df19f9f8ce039d894ee7bf5ed0158a873b5720e7-d98b0d511-8f9be0820816	shared-change-history	2	2	1	1	2026-08-15T01:01:52Z	2026-08-15T01:01:52Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""d98b0d511f769eae642039b0c58998194b354b07"",""df19f9f8ce039d894ee7bf5ed0158a873b5720e7"",""f0041520a6dde7486d1d1cd1afda1b8390c80431""]"	work-r300-r2vb-float2-tuple-pass-c-original-line-1-bee14b100205	read-the-shared-commit-sequence-once-then-check-each-claim
147	review-shared-change-history-4fa201b313a260bff2346dfa18dbb7bb007421c2-1ed8ffbc4-578b54ea728e	shared-change-history	1	1	1	1	2026-08-15T03:18:58Z	2026-08-15T03:18:58Z	"[""documentation-symbol-and-link-check""]"	"[""changed-since-review""]"	"[""1ed8ffbc44cce22d980cf942b9704ea7e29cfaf8"",""4fa201b313a260bff2346dfa18dbb7bb007421c2"",""99abd045014a09f65658f7863a2c59805658eba1"",""df19f9f8ce039d894ee7bf5ed0158a873b5720e7""]"	work-r3v-native-attended-float2-tuple-procedure-md-original-line-25-85f30a8c16f8	read-the-shared-commit-sequence-once-then-check-each-claim
148	review-shared-change-history-70cb48ff40d83e237df66251480fcc87e9477954-428f6dcbb-e0d0bd9f6410	shared-change-history	1	1	1	1	2026-08-16T01:56:02Z	2026-08-16T01:56:02Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""428f6dcbb0e1cd71417e1169c385f9e62f2ac0b7"",""70cb48ff40d83e237df66251480fcc87e9477954""]"	work-r300-r2vb-reingest-compose-parity-test-c-original-line-109-a8e7ea9893ff	read-the-shared-commit-sequence-once-then-check-each-claim
149	review-shared-change-history-3757172d5357cd91e512d0cbbbf0f066c4caf77b-660cc3520-a600d35c7925	shared-change-history	5	5	2	1	2026-08-16T21:38:07Z	2026-08-16T21:38:07Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""3757172d5357cd91e512d0cbbbf0f066c4caf77b"",""660cc3520267a83cf206715053b689e1b222f875""]"	work-r3v-native-status-load-machine-c-original-line-219-e4798369535b	read-the-shared-commit-sequence-once-then-check-each-claim
150	review-shared-change-history-ef9a7d3a730fefda515635117e1a34f4eca5e07b-25f47cfc2-bb8a9ba5f11e	shared-change-history	1	1	1	1	2026-08-16T21:40:51Z	2026-08-16T21:40:51Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""240973ba7c6fc0f77fbf6feb53be359e0f193a4e"",""25f47cfc2587ae7d59009f0c9a02ea0338e399ee"",""3b355908198285831108be57003bdfbd69a796cb"",""57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7"",""ef9a7d3a730fefda515635117e1a34f4eca5e07b""]"	work-r300-screen-c-static-void-r300-query-memory-info-struct-c8fd947a65f3	read-the-shared-commit-sequence-once-then-check-each-claim
151	review-shared-change-history-d98b0d511f769eae642039b0c58998194b354b07-fb041b554-ac7bf31eddd8	shared-change-history	3	3	1	1	2026-08-17T00:33:28Z	2026-08-17T00:33:28Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""2283b0ab4d43516a53fcd4b93f161b8a4b054fc8"",""660cc3520267a83cf206715053b689e1b222f875"",""77266cd7905d19db3ad1bc5d8749f7176e4e4749"",""b4f6dfe21e9483984a099e2e0ce4dad73381826f"",""d98b0d511f769eae642039b0c58998194b354b07"",""f0041520a6dde7486d1d1cd1afda1b8390c80431"",""fb041b5541937a790c971f17cb31807991609d8c""]"	work-r3v-native-attended-status-load-float2-tuple-c-original-line-c7a0c9cb6543	read-the-shared-commit-sequence-once-then-check-each-claim
152	review-shared-change-history-d98b0d511f769eae642039b0c58998194b354b07-660cc3520-7a8fd109a675	shared-change-history	1	17	1	10	2026-08-17T02:35:31Z	2026-08-25T20:45:52Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""14d41350a7d29ed484b247e119139600650ea080"",""26b04af5186ffa9c81c9f86ea67d56a9b2ee9baf"",""275a5279249d527c349f4dfdd4f93cf66e6123eb"",""2a11aa0c8253be67db77dd45cc6f02e8ad4b5c77"",""300a75557165c988818944e1fef1157d847406bc"",""4538830584f03901861c076922b7c8c408df27d4"",""4af44f4212f06b31e8fd5577645a97953b7b3924"",""4eb06a49be58551844a93a51de5639cf64f3558a"",""5f2615641abebc5f1631fb02285d20a93808cbfb"",""64fa102e611a869ea31d47a31fdf72ad84f28711"",""6594b309ef5ccb3945196308926ce1a2aa893e94"",""660cc3520267a83cf206715053b689e1b222f875"",""67ab87ab156a8df979e6af13a3c33e18c804355c"",""73b4fc07196b5bc9e5505406dfc34f4269407165"",""7dd3f6fbb379de20d3c2c7d983d24523acfdbd84"",""84cf229c0d6e290d4a5694efa957454bc04b22c9"",""94ffda29b9fa054897b6c41a4a177c95c0ca2d0a"",""99e93170475b3f8ff2dee9784c5a0149f503108e"",""adfa7ce2b0e930e3f198f703477c8c0797338246"",""af766adab77452239b29918eb26f033c0f00b313"",""b4f6dfe21e9483984a099e2e0ce4dad73381826f"",""baf48620c79c19566965936e10cb66c5c1419cf5"",""bd7fcf75397e409a3d1e15e595e940d6411dffc3"",""c5cc11945f60ddc34a1011b1bde47762a33887ab"",""c7dae69423791abaefee49603b2d45e62086ac19"",""d98b0d511f769eae642039b0c58998194b354b07"",""dc380fd9cddf1f112abf0921f5478bd9142ad359"",""e027bfab7db0f50aea0ce2a58a4cdc6c391aa569"",""eae1df80d9c7db3162ed27614fc74de2325ad665"",""ebc8348c2ec8951c28056c17b036a365856cd12a"",""ecc21f36cf7893d5fc9ea51a13b33377fe5b11b1"",""f0041520a6dde7486d1d1cd1afda1b8390c80431"",""fe97343a914ab505bd65be95b129679f7155f38c""]"	work-r3v-native-queue-c-r3v-native-queue-submit-struct-vk-606161d6cc8c	read-the-shared-commit-sequence-once-then-check-each-claim
153	review-shared-change-history-77266cd7905d19db3ad1bc5d8749f7176e4e4749-660cc3520-344121fff59d	shared-change-history	1	7	1	3	2026-08-17T05:06:54Z	2026-08-19T15:41:34Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""2283b0ab4d43516a53fcd4b93f161b8a4b054fc8"",""660cc3520267a83cf206715053b689e1b222f875"",""77266cd7905d19db3ad1bc5d8749f7176e4e4749"",""b4f6dfe21e9483984a099e2e0ce4dad73381826f"",""f0041520a6dde7486d1d1cd1afda1b8390c80431""]"	work-r3v-native-attended-status-load-float2-tuple-c-main-int-fb54988b9c3c	read-the-shared-commit-sequence-once-then-check-each-claim
154	review-shared-change-history-b4f6dfe21e9483984a099e2e0ce4dad73381826f-2283b0ab4-474b8451b8d8	shared-change-history	2	2	1	1	2026-08-19T04:12:56Z	2026-08-19T04:12:56Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""2283b0ab4d43516a53fcd4b93f161b8a4b054fc8"",""b4f6dfe21e9483984a099e2e0ce4dad73381826f"",""f0041520a6dde7486d1d1cd1afda1b8390c80431""]"	work-r3v-native-attended-status-load-float2-tuple-c-op-submit-ab0e3d2c2bb8	read-the-shared-commit-sequence-once-then-check-each-claim
155	review-shared-change-history-9a9fe0890d1b0aa45d846f9a29ea4fce8b3b41f5-a5029925f-0c9cab92f78e	shared-change-history	3	3	1	1	2026-08-19T14:14:03Z	2026-08-19T14:14:03Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""29d75924a6eb6e49eaf2598f563207c9259f56ef"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""9a9fe0890d1b0aa45d846f9a29ea4fce8b3b41f5"",""a5029925fb0357c231d21bf4e7b1ee75fdd379ec"",""b87ab13ac5719ffb2a9d90554bd03e395b53763d"",""c9bd4e6bc836fe7d172176dd0c977779537d14d5"",""d214e70ed81ffdc8b52ab47be9c8206073cf47ed"",""d2b6fe808983612e78eb95cb0000db4e36b38a21"",""dd879200731e8a3b717fcf95dd5f78d5fd1e3a7f"",""e50678009138c99f30b83aea23ae083213b8a58c"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9""]"	work-r300-cpu-vertex-job-c-original-line-129-b538663f8fb5	read-the-shared-commit-sequence-once-then-check-each-claim
156	review-shared-change-history-29d75924a6eb6e49eaf2598f563207c9259f56ef-080060afd-826ccf84560a	shared-change-history	1	1	1	1	2026-08-19T14:33:35Z	2026-08-19T14:33:35Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""080060afd9163cfdc80a48bb53b2e70ad98b7488"",""29d75924a6eb6e49eaf2598f563207c9259f56ef"",""41d774592cb536a8f74e5247c9a9a855725b397e""]"	work-r300-vertex-job-nir-h-original-line-19-07943736b651	read-the-shared-commit-sequence-once-then-check-each-claim
157	review-shared-change-history-29d75924a6eb6e49eaf2598f563207c9259f56ef-c3bf3ce73-68a912a86fae	shared-change-history	1	1	1	1	2026-08-19T14:33:35Z	2026-08-19T14:33:35Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""29d75924a6eb6e49eaf2598f563207c9259f56ef"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""c3bf3ce73b810b73e7cec2da91588622ac1ea17b""]"	work-r300-vertex-job-nir-c-original-line-203-e67db47e2dc1	read-the-shared-commit-sequence-once-then-check-each-claim
158	review-shared-change-history-a5029925fb0357c231d21bf4e7b1ee75fdd379ec-b87ab13ac-8c8d4d493b70	shared-change-history	1	1	1	1	2026-08-19T15:35:07Z	2026-08-19T15:35:07Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""29d75924a6eb6e49eaf2598f563207c9259f56ef"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""a5029925fb0357c231d21bf4e7b1ee75fdd379ec"",""b87ab13ac5719ffb2a9d90554bd03e395b53763d"",""c9bd4e6bc836fe7d172176dd0c977779537d14d5"",""d214e70ed81ffdc8b52ab47be9c8206073cf47ed"",""d2b6fe808983612e78eb95cb0000db4e36b38a21"",""dd879200731e8a3b717fcf95dd5f78d5fd1e3a7f"",""e50678009138c99f30b83aea23ae083213b8a58c"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9""]"	work-r300-cpu-vertex-job-c-int-r300-cpu-vertex-job-0740e4669a9f	read-the-shared-commit-sequence-once-then-check-each-claim
159	review-shared-change-history-e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9-9ebc57897-70ef8a9530c4	shared-change-history	1	3	1	2	2026-08-19T17:31:25Z	2026-08-22T21:08:55Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""9ebc57897138fd5c4b6ab087a21452da1caf7a56"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9""]"	work-r3v-native-burst-cell-harness-c-main-void-4d21aa527654	read-the-shared-commit-sequence-once-then-check-each-claim
160	review-shared-change-history-29d75924a6eb6e49eaf2598f563207c9259f56ef-4af44f421-620297e41b52	shared-change-history	1	1	1	1	2026-08-19T23:00:53Z	2026-08-19T23:00:53Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""080060afd9163cfdc80a48bb53b2e70ad98b7488"",""0b9e0af087f3a19d1f08d6b5b8e520f736ea3293"",""13683abd6ad3fcbf0d052d1a63b24793b59211fa"",""1d0ecc2e4930d7ebb2c0c0cfb2bf577f02c885b8"",""23809ecb8d46f6153311d7cfa4419b0c57e88a75"",""24e9863bb0a297de10298b8de7a33e6cfcbbd986"",""29d75924a6eb6e49eaf2598f563207c9259f56ef"",""3bfafd1e35a20b7024389b1ae47af94d979e27fd"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""4af44f4212f06b31e8fd5577645a97953b7b3924"",""5453c84376b798dd7cc68a5f65defc68037c4b15"",""57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7"",""8077376b79a29299a39b37c6178b7a064a9abf29"",""8e1387b5c97e329dd7b12f9937d691611c40f63e"",""93ff2e17aeca881926adb92dc6493bb34018be2a"",""a015140709531fdfbb364921ce32e9c3fa56c14c"",""a3d731fddaf773e547e3a057a93394025833e651"",""a988c2cf707f0190580ac4099b70670084905be3"",""b6df2f8ef84dda8b2c505b389e50e3faadada672"",""bd7fcf75397e409a3d1e15e595e940d6411dffc3"",""d2b2d888ed784999a7c90886228532021b52d268"",""e50678009138c99f30b83aea23ae083213b8a58c"",""e68f40792d4bbdcc1961cae439a8b0264c25c9ce"",""ebc8348c2ec8951c28056c17b036a365856cd12a""]"	work-r3v-physical-device-c-original-line-30-3678a66b20b4	read-the-shared-commit-sequence-once-then-check-each-claim
161	review-shared-change-history-8077376b79a29299a39b37c6178b7a064a9abf29-6c32b4e31-88f21d7c4b43	shared-change-history	3	3	1	1	2026-08-19T23:00:53Z	2026-08-19T23:00:53Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""23809ecb8d46f6153311d7cfa4419b0c57e88a75"",""6c32b4e315c631480f42c9540fd36ec64b0f18e5"",""8077376b79a29299a39b37c6178b7a064a9abf29""]"	work-r3v-native-separation-audit-py-original-line-150-d4ef891140af	read-the-shared-commit-sequence-once-then-check-each-claim
162	review-shared-change-history-72f79f2c1a39fc65803eeaae870aced6d480a811-a5029925f-a5c03db1783e	shared-change-history	1	5	1	1	2026-08-19T23:40:29Z	2026-08-19T23:44:05Z	"[""documentation-symbol-and-link-check""]"	"[""changed-since-review""]"	"[""080060afd9163cfdc80a48bb53b2e70ad98b7488"",""0bb1427b518fc30fd6383d39cfe7485beb1b273b"",""1a5c07ce10d5efc8592101374468c787899d084b"",""31650bf8e57d52a812104aeb6cc60449099a86d1"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""4af44f4212f06b31e8fd5577645a97953b7b3924"",""60ae71b6e75360b9cc12dd4b524381da9da7feb4"",""6bea7436da734ace2cd7e654c6487a4ee08151cb"",""6bec0aa6fbf13ffedd6b43e5cbf2fd5220b34e9c"",""72f79f2c1a39fc65803eeaae870aced6d480a811"",""74023eb71b34141ce214b337349fdcec650e7c94"",""7dd3f6fbb379de20d3c2c7d983d24523acfdbd84"",""813f5899cd3d315aa4c84213e5be5101fc03f698"",""873da3b8e03dbeea1e9f1fc3ff69a7b41a4b68c5"",""8e1387b5c97e329dd7b12f9937d691611c40f63e"",""91836a959f1cfda67e5c78a812bc0d90d0a03e90"",""99e93170475b3f8ff2dee9784c5a0149f503108e"",""9e834dbc3131e3998158efb3a8a7815e1622fce1"",""a5029925fb0357c231d21bf4e7b1ee75fdd379ec"",""af766adab77452239b29918eb26f033c0f00b313"",""b5944bc15e925156ca910369ce1f4107b2f3ceb3"",""b87ab13ac5719ffb2a9d90554bd03e395b53763d"",""c9bd4e6bc836fe7d172176dd0c977779537d14d5"",""d02bda1a06e35e35f08127a42ace08a0052e6351"",""d214e70ed81ffdc8b52ab47be9c8206073cf47ed"",""d2b6fe808983612e78eb95cb0000db4e36b38a21"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9""]"	work-r3v-implementation-boundaries-md-r2vb-migration-follows-the-fixed-triang-7784fa8affab	read-the-shared-commit-sequence-once-then-check-each-claim
163	review-shared-change-history-98d7e02bdbc8f23a6484f9390241f4d3fd8e5389-7fc0c23a2-b720a4e1eda2	shared-change-history	2	2	1	1	2026-08-20T03:56:22Z	2026-08-20T03:56:22Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""01cce6697e2122401327f7dbc7d873adb7b0a897"",""7fc0c23a20f73941a8bb42ff5bca657873683811"",""98d7e02bdbc8f23a6484f9390241f4d3fd8e5389""]"	work-r3v-native-attended-public-gpu-producer-c-original-line-660-8f50a3dc25da	read-the-shared-commit-sequence-once-then-check-each-claim
164	review-shared-change-history-fe97343a914ab505bd65be95b129679f7155f38c-e82f3e8aa-cc0b9a781662	shared-change-history	1	2	1	2	2026-08-20T03:56:22Z	2026-08-23T22:16:21Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""0f807535cfda5bf35b33bd8869a80d5480b566e4"",""10f9e2fa66fd28b97638124d55113218da2a57d5"",""13701e615400edf1e437c61df559419793a3088f"",""1ad514dc9e39a5ce3e6373bc35fc84c5c95dbb0c"",""275a5279249d527c349f4dfdd4f93cf66e6123eb"",""300a75557165c988818944e1fef1157d847406bc"",""31650bf8e57d52a812104aeb6cc60449099a86d1"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""428f6dcbb0e1cd71417e1169c385f9e62f2ac0b7"",""51e2926b7cd2deabb3dfc6c09e9e3310abca4159"",""5453c84376b798dd7cc68a5f65defc68037c4b15"",""5f2615641abebc5f1631fb02285d20a93808cbfb"",""64fa102e611a869ea31d47a31fdf72ad84f28711"",""6594b309ef5ccb3945196308926ce1a2aa893e94"",""73b4fc07196b5bc9e5505406dfc34f4269407165"",""7d380acb9b92d0de445217a4c35eb53cccc03901"",""7dd3f6fbb379de20d3c2c7d983d24523acfdbd84"",""813f5899cd3d315aa4c84213e5be5101fc03f698"",""84cf229c0d6e290d4a5694efa957454bc04b22c9"",""93ff2e17aeca881926adb92dc6493bb34018be2a"",""966ab4bfce7b70d429f659d57c4e91c64a70f7b8"",""a190f69df686f6558b0e3ef847ef62793ffcaf50"",""a988c2cf707f0190580ac4099b70670084905be3"",""af766adab77452239b29918eb26f033c0f00b313"",""b5944bc15e925156ca910369ce1f4107b2f3ceb3"",""bd7fcf75397e409a3d1e15e595e940d6411dffc3"",""c096215370bdb9dd72176529c0975c271596d5a6"",""c5cc11945f60ddc34a1011b1bde47762a33887ab"",""c7dae69423791abaefee49603b2d45e62086ac19"",""c9bd4e6bc836fe7d172176dd0c977779537d14d5"",""d214e70ed81ffdc8b52ab47be9c8206073cf47ed"",""d2b6fe808983612e78eb95cb0000db4e36b38a21"",""dc60471e58b6198ffe3b065d3164d08a4afa0664"",""dd879200731e8a3b717fcf95dd5f78d5fd1e3a7f"",""e50678009138c99f30b83aea23ae083213b8a58c"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9"",""eae1df80d9c7db3162ed27614fc74de2325ad665"",""ebc8348c2ec8951c28056c17b036a365856cd12a"",""fe97343a914ab505bd65be95b129679f7155f38c""]"	work-r3v-native-cell-c-r3v-native-deferred-draw-admit-gpu-6dd3e8545a1b	read-the-shared-commit-sequence-once-then-check-each-claim
165	review-shared-change-history-7fc0c23a20f73941a8bb42ff5bca657873683811-01cce6697-0f35e660d0c1	shared-change-history	1	1	1	1	2026-08-20T04:12:52Z	2026-08-20T04:12:52Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""01cce6697e2122401327f7dbc7d873adb7b0a897"",""7fc0c23a20f73941a8bb42ff5bca657873683811""]"	work-r3v-native-attended-public-gpu-producer-c-main-int-argc-912f341d9dd8	read-the-shared-commit-sequence-once-then-check-each-claim
166	review-shared-change-history-4420389af742cd6354dceac2584fd4fd8ad74ec8-292c0318d-61cdb60b6ab0	shared-change-history	3	4	3	3	2026-08-20T06:09:15Z	2026-08-27T04:13:23Z	"[""documentation-symbol-and-link-check"",""repository-native-focused-check"",""schema-generator-and-mutation-check""]"	"[""changed-since-review""]"	"[""292c0318de096554d204725077710d177a3196f2"",""4420389af742cd6354dceac2584fd4fd8ad74ec8"",""f743d0f9bec6e673cdd09dfd4554172aaa9b01c7""]"	work-claude-md-original-line-7-fcdb94b0b1ef	read-the-shared-commit-sequence-once-then-check-each-claim
167	review-shared-change-history-5d0992daca915871d0a01d2e1bcedf53a8c9c76e-4af44f421-2b98c47b038f	shared-change-history	1	1	1	1	2026-08-20T06:29:36Z	2026-08-20T06:29:36Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""13683abd6ad3fcbf0d052d1a63b24793b59211fa"",""2a11aa0c8253be67db77dd45cc6f02e8ad4b5c77"",""4af44f4212f06b31e8fd5577645a97953b7b3924"",""5d0992daca915871d0a01d2e1bcedf53a8c9c76e"",""981dd80e8b679a8d6ba06b532d8ce1aecbb7a653"",""adfa7ce2b0e930e3f198f703477c8c0797338246""]"	work-r3v-native-object-c-r3v-native-validate-mapped-ranges-struct-fb8313134b68	read-the-shared-commit-sequence-once-then-check-each-claim
168	review-shared-change-history-29d75924a6eb6e49eaf2598f563207c9259f56ef-4af44f421-760dcf1a0791	shared-change-history	1	1	1	1	2026-08-20T17:25:18Z	2026-08-20T17:25:18Z	"[""configure-build-and-artifact-check""]"	"[""changed-since-review""]"	"[""29d75924a6eb6e49eaf2598f563207c9259f56ef"",""4af44f4212f06b31e8fd5577645a97953b7b3924"",""4dbdf525e95ef176f2323ef5ea6ec14dbd264356"",""b6ea89213c0ca1b4bd1e70d6678a3766554aaa2a"",""dd879200731e8a3b717fcf95dd5f78d5fd1e3a7f""]"	work-meson-build-if-with-tests-0d619494ec18	read-the-shared-commit-sequence-once-then-check-each-claim
169	review-shared-change-history-b87ab13ac5719ffb2a9d90554bd03e395b53763d-080060afd-585d020d1bb5	shared-change-history	1	1	1	1	2026-08-20T17:25:18Z	2026-08-20T17:25:18Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""080060afd9163cfdc80a48bb53b2e70ad98b7488"",""292c0318de096554d204725077710d177a3196f2"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""4420389af742cd6354dceac2584fd4fd8ad74ec8"",""b87ab13ac5719ffb2a9d90554bd03e395b53763d"",""dd879200731e8a3b717fcf95dd5f78d5fd1e3a7f"",""f743d0f9bec6e673cdd09dfd4554172aaa9b01c7""]"	work-r300-cpu-vertex-job-bench-c-original-line-488-ae49204e157d	read-the-shared-commit-sequence-once-then-check-each-claim
170	review-shared-change-history-e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9-94ffda29b-755c8b865c3d	shared-change-history	1	3	1	2	2026-08-20T20:57:59Z	2026-08-23T22:20:26Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""0f807535cfda5bf35b33bd8869a80d5480b566e4"",""10f9e2fa66fd28b97638124d55113218da2a57d5"",""14d41350a7d29ed484b247e119139600650ea080"",""2232b3ab7b2baef2666bd3f5bf23193e0af2f86e"",""23003871b2dd06b940512aade2f283c45e1e804a"",""275a5279249d527c349f4dfdd4f93cf66e6123eb"",""2e18300a2b42035a97b5fd350656b99cb9dbd7e0"",""393cb870255352a00fc9859f2d6624e3f10b2b87"",""3bfafd1e35a20b7024389b1ae47af94d979e27fd"",""41d774592cb536a8f74e5247c9a9a855725b397e"",""4337fab9b7e51ae23d0c1db75c0c107ec1a20f29"",""51e2926b7cd2deabb3dfc6c09e9e3310abca4159"",""5453c84376b798dd7cc68a5f65defc68037c4b15"",""64fa102e611a869ea31d47a31fdf72ad84f28711"",""682648a30f9fe5db7f18772bd953af2e44099437"",""73b4fc07196b5bc9e5505406dfc34f4269407165"",""7d380acb9b92d0de445217a4c35eb53cccc03901"",""7dd3f6fbb379de20d3c2c7d983d24523acfdbd84"",""812cf7df40581a3ccb779baf92fe18a83a552220"",""8576d34d1deb01144c123a2e7066abbf52bdcfc9"",""8e1387b5c97e329dd7b12f9937d691611c40f63e"",""8e4c01d4aaf5dbfe222d2bd3763b7ca906eb129c"",""937dbcb62ff8173c66e94e0e89322442915f9c14"",""94ffda29b9fa054897b6c41a4a177c95c0ca2d0a"",""98959caa8f8f735899b1d1390d650d1ae450887e"",""a190f69df686f6558b0e3ef847ef62793ffcaf50"",""a4c39ca2b71127b4a9ffe6a3e524428977fc7c61"",""ae2e0183f6953f872bb04b6b929b374b6f8ac1ae"",""af766adab77452239b29918eb26f033c0f00b313"",""c3f310b429a8061a7eda94441b306c7b999d5ebc"",""c5cc11945f60ddc34a1011b1bde47762a33887ab"",""c7dae69423791abaefee49603b2d45e62086ac19"",""dc380fd9cddf1f112abf0921f5478bd9142ad359"",""dc60471e58b6198ffe3b065d3164d08a4afa0664"",""dced3e68e922a69e6eaefced4cebab206b1d7af2"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9"",""ebc8348c2ec8951c28056c17b036a365856cd12a"",""ecc21f36cf7893d5fc9ea51a13b33377fe5b11b1"",""f7b2fe40e4b338b69843d457db428000f56fb7b7"",""fcf09c5b472f9c2b301ea08e9859551ae9d075fb""]"	work-r3v-native-public-surface-harness-c-main-void-9ef80fd09665	read-the-shared-commit-sequence-once-then-check-each-claim
171	review-shared-change-history-e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9-dd8792007-0a959665412e	shared-change-history	1	1	1	1	2026-08-20T21:39:58Z	2026-08-20T21:39:58Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""41d774592cb536a8f74e5247c9a9a855725b397e"",""c9bd4e6bc836fe7d172176dd0c977779537d14d5"",""d214e70ed81ffdc8b52ab47be9c8206073cf47ed"",""d2b6fe808983612e78eb95cb0000db4e36b38a21"",""dd879200731e8a3b717fcf95dd5f78d5fd1e3a7f"",""e50678009138c99f30b83aea23ae083213b8a58c"",""e82f3e8aa63f7ed9c2e80f53b78c38d981b0efa9""]"	work-r300-cpu-vertex-job-c-static-uint32-t-float-result-20a5f2f9a401	read-the-shared-commit-sequence-once-then-check-each-claim
172	review-shared-change-history-e027bfab7db0f50aea0ce2a58a4cdc6c391aa569-c1b300de0-f64f90f16ff9	shared-change-history	2	2	1	1	2026-08-21T00:23:08Z	2026-08-21T00:23:08Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""4eb06a49be58551844a93a51de5639cf64f3558a"",""7dd3f6fbb379de20d3c2c7d983d24523acfdbd84"",""af766adab77452239b29918eb26f033c0f00b313"",""c1b300de0ca29571a93b6d99a1cf0e4d7fb9bae2"",""e027bfab7db0f50aea0ce2a58a4cdc6c391aa569""]"	work-r3v-native-attended-route-dispatch-timing-c-original-line-713-530ee31cd823	read-the-shared-commit-sequence-once-then-check-each-claim
173	review-shared-change-history-24ed1649a19ca58c31f0b37e531e075b60c26115-a057c5925-a091f2f6ddd9	shared-change-history	1	3	1	2	2026-08-21T00:42:40Z	2026-08-22T22:05:11Z	"[""repository-native-focused-check""]"	"[""changed-since-review""]"	"[""0ee977e1035c63e9cb339e51a2abf48bf1371dba"",""217378421cb218e216d5f4d135101c25a7892a3b"",""229aaf2d4d56d53ab8ef75875b689fc6136975d9"",""24ed1649a19ca58c31f0b37e531e075b60c26115"",""292c0318de096554d204725077710d177a3196f2"",""4420389af742cd6354dceac2584fd4fd8ad74ec8"",""4b965810d471ad11a2c94369a9f75dd127651c3f"",""74e1dd755b905828dd9098207d8d63d77f87e8c8"",""8077376b79a29299a39b37c6178b7a064a9abf29"",""a057c592519230f4f23e08661a70dbce45ca8428"",""b994e46a625267a56a6e78ad074d11c2ac5c0296"",""f743d0f9bec6e673cdd09dfd4554172aaa9b01c7""]"	work-pkgbuild-link-into-usr-05754d71c4ad	read-the-shared-commit-sequence-once-then-check-each-claim
